date,coin_id,symbol,price_usd,total_volume_usd,daily_return,log_return,roll_vol_30d,roll_mean_30d
2017-11-06,binancecoin,BNB,1.571,192128.335549,,,,
2017-11-07,binancecoin,BNB,1.8,224771.730969,0.14576702737110137,0.13607430562863504,,
2017-11-08,binancecoin,BNB,1.9889,661188.791512,0.10494444444444428,0.0997950571849446,,
2017-11-09,binancecoin,BNB,1.99,585812.825704,0.0005530695359243776,0.0005529166493372723,,
2017-11-10,binancecoin,BNB,1.7133,885876.8652,-0.1390452261306533,-0.14971330337961117,,
2017-11-11,binancecoin,BNB,1.655,452345.770169,-0.034027899375474235,-0.03462032652776365,,
2017-11-12,binancecoin,BNB,1.49,704902.989639,-0.09969788519637468,-0.10502488887165852,,
2017-11-13,binancecoin,BNB,1.68,273596.323188,0.12751677852348986,0.12001767345779972,,
2017-11-14,binancecoin,BNB,1.5911,285855.4757,-0.05291666666666661,-0.05436819248349373,,
2017-11-15,binancecoin,BNB,1.5532,460183.52253,-0.023819998743007997,-0.024108282056298596,,
2017-11-16,binancecoin,BNB,1.5599,315953.88 804,0.0043136749935617225,0.0043043977673107945,,
2017-11-17,binancecoin,BNB,1.5041,640592.380726,-0.0357715238156292,-0.03642700396365536,,
2017-11-18,binancecoin,BNB,1.6699,270253.427936,0.1102320324446513,0.1045690317172191,,
2017-11-19,binancecoin,BNB,1.6,294879.465206,-0.04185879393975678,-0.04276011515051401,,
2017-11-20,binancecoin,BNB,1.64,257135.103704,0.02499999999999991,0.024692612590371414,,
2017-11-21,binancecoin,BNB,1.5874,653820.950625,-0.032073170731707346,-0.03259878416146896,,
2017-11-22,binancecoin,BNB,1.6158,311505.227801,0.01789089076477257,0.017732732388833043,,
2017-11-23,binancecoin,BNB,1.57,289488.771316,-0.02834509221438286,-0.028754570703254375,,
2017-11-24,binancecoin,BNB,1.7292,1080205.326803,0.10140127388535025,0.09658325445112291,,
2017-11-25,binancecoin,BNB,1.87,856432.449549,0.08142493638676851,0.07827955705515566,,
2017-11-26,binancecoin,BNB,1.8388,359756.024918,-0.01668449197860966,-0.016825245916559418,,
2017-11-27,binancecoin,BNB,1.9532,877871.738231,0.062214487709375765,0.06035586825543235,,
2017-11-28,binancecoin,BNB,1.9249,677548.274444,-0.014489043620725006,-0.014595034866915471,,
2017-11-29,binancecoin,BNB,1.7565,1734093.398532,-0.08748506415917712,-0.09155082561470806,,
2017-11-30,binancecoin,BNB,1.95,1410818.441963,0.1101622544833476,0.1045061798519108,,
2017-12-01,binancecoin,BNB,2.0527,650183.351446,0.05266666666666686,0.051326627165340845,,
2017-12-02,binancecoin,BNB,2.0797,495787.768605,0.013153407706922415,0.013067652800741947,,
2017-12-03,binancecoin,BNB,2.2617,764734.634109,0.0875126220127902,0.08389309036189051,,
2017-12-04,binancecoin,BNB,2.55,945326.372868,0.12747048680196316,0.11997661626670598,,
2017-12-05,binancecoin,BNB,2.612,1125838.346443,0.02431372549019617,0.024022852243849938,,1.8119433333333332
2017-12-06,binancecoin,BNB,2.5134,970951.895214,-0.037748851454823984,-0.03847979321527759,1.4003978476869772,1.8433566666666665
2017-12-07,binancecoin,BNB,2.6625,1406348.826139,0.05932203389830515,0.05762911283663642,1.340975388259624,1.8721066666666666
2017-12-08,binancecoin,BNB,2.79,1643051.586987,0.04788732394366191,0.0467760647977307,1.3102073782693584,1.8988099999999999
2017-12-09,binancecoin,BNB,2.65,1195662.19831,-0.05017921146953408,-0.05148195583514345,1.3280209312091167,1.92081
2017-12-10,binancecoin,BNB,2.4619,1346922.162266,-0.07098113207547163,-0.07362623044501775,1.2365451523363893,1.945763333333333
2017-12-11,binancecoin,BNB,2.687,1008639.185552,0.09143344571266088,0.08749192008024108,1.2517604432969918,1.9801633333333333
2017-12-12,binancecoin,BNB,2.5547,1418968.928439,-0.04923706736136946,-0.05049052970132751,1.1986400309955783,2.0156533333333333
2017-12-13,binancecoin,BNB,2.719,1805890.315819,0.06431283516655562,0.06232936571830697,1.1528407430656276,2.0502866666666666
2017-12-14,binancecoin,BNB,3.1519,2897004.542185,0.15921294593600588,0.1477412799536975,1.2115177634775627,2.102313333333333
2017-12-15,binancecoin,BNB,4.12,3307473.578784,0.3071480694184461,0.2678477177574039,1.4697633073485599,2.1878733333333336
2017-12-16,binancecoin,BNB,4.6378,3319650.86142,0.12567961165048547,0.11838695250676315,1.4958374667237528,2.29047
2017-12-17,binancecoin,BNB,5.999,8931149.054843,0.29350122903100595,0.2573526728027578,1.6581957211577838,2.4402999999999997
2017-12-18,binancecoin,BNB,6.0,7898873.16033,0.00016669444907480013,0.00016668055709891268,1.6518482675647463,2.5846366666666665
2017-12-19,binancecoin,BNB,5.6999,10454908.076245,-0.0500166666666666,-0.05131083840109489,1.657670811294242,2.7213
2017-12-20,binancecoin,BNB,5.1502,7254130.949526,-0.09644028842611285,-0.10141308195391628,1.7313001574947866,2.838306666666667
2017-12-21,binancecoin,BNB,5.1596,5040755.016606,0.0018251718379869164,0.0018235082358001506,1.7177071405807438,2.95738
2017-12-22,binancecoin,BNB,4.2912,6727001.091803,-0.1683076207457943,-0.18429264300362172,1.885929591694021,3.04656
2017-12-23,binancecoin,BNB,4.4,4432830.069613,0.025354213273676374,0.025038126818993155,1.873209507410078,3.140893333333333
2017-12-24,binancecoin,BNB,5.181,4706891.053183,0.1775,0.16339354690843574,1.9151715248104002,3.2559533333333333
2017-12-25,binancecoin,BNB,6.4631,8940235.580009,0.24746187994595625,0.22111099101910714,2.0164390145307425,3.4090566666666664
2017-12-26,binancecoin,BNB,9.254,25800543.063661,0.4318206433445251,0.35894681163304937,2.287757647017259,3.65623
2017-12-27,binancecoin,BNB,10.0731,27989687.572451,0.08851307542684261,0.0848126139554968,2.2902201829973685,3.926893333333333
2017-12-28,binancecoin,BNB,9.25,22221179.907645,-0.08171268030695622,-0.08524495291597076,2.3300296169696653,4.171063333333334
2017-12-29,binancecoin,BNB,8.7094,12573057.266305,-0.05844324324324324,-0.06022064937023816,2.3081403830723355,4.402826666666667
2017-12-30,binancecoin,BNB,7.5947,12799185.75526,-0.1279881507336902,-0.13695226655732826,2.392914691634826,4.590983333333332
2017-12-31,binancecoin,BNB,8.53,10608475.154,0.12315167156043039,0.11613872590682027,2.405607332475151,4.806893333333333
2018-01-01,binancecoin,BNB,8.45,5400587.859207,-0.009378663540445475,-0.00942292013450526,2.4109300607360624,5.019236666666667
2018-01-02,binancecoin,BNB,8.715,10811231.71794,0.031360946745562224,0.030879237602901854,2.4077346299050824,5.234346666666667
2018-01-03,binancecoin,BNB,9.304,8256005.928083,0.0675846242111302,0.06539873624437903,2.393819385038839,5.45948
2018-01-04,binancecoin,BNB,9.143,8720171.270568,-0.01730438521066202,-0.01745585603407373,2.4023466928841692,5.677180000000001
2018-01-05,binancecoin,BNB,14.8908,34978202.423947,0.6286558022530897,0.4877550134041476,2.8421055441038447,6.08976
2018-01-06,binancecoin,BNB,22.6,57138637.819288,0.5177156365003897,0.4172063336918031,3.1041111949647564,6.754343333333333
2018-01-07,binancecoin,BNB,18.594,31345967.063744,-0.17725663716814155,-0.19511095824457395,3.2398501652572973,7.2811433333333335
2018-01-08,binancecoin,BNB,17.9971,36185866.152152,-0.032101753253737875,-0.03262831422840193,3.2321067648883077,7.792713333333333
2018-01-09,binancecoin,BNB,17.399,23915578.639132,-0.03323313200460065,-0.033797900500685145,3.2137172817582575,8.290616666666667
2018-01-10,binancecoin,BNB,17.5,18789438.19822,0.005804931317891837,0.005788147624889238,3.2192102076338585,8.784383333333333
2018-01-11,binancecoin,BNB,21.2024,66194432.305624,0.21156571428571436,0.1919135018881775,3.2231998026667603,9.405973333333334
2018-01-12,binancecoin,BNB,22.1999,65523685.059818,0.04704656076670566,0.04597340154593815,3.224228893809726,10.055336666666667
2018-01-13,binancecoin,BNB,22.0246,23892359.656603,-0.007896431965909723,-0.007927773886733672,3.2227050218812274,10.684426666666667
2018-01-14,binancecoin,BNB,20.4541,27604526.761593,-0.07130662985933911,-0.07397665908571768,3.171803851781853,11.228896666666666
2018-01-15,binancecoin,BNB,19.3396,48015494.101221,-0.05448785329102723,-0.056028544103138476,3.185150664549523,11.718956666666665
2018-01-16,binancecoin,BNB,13.1996,139644539.595996,-0.3174832985170324,-0.381968281185118,3.4267234674531997,11.958976666666668
2018-01-17,binancecoin,BNB,14.1998,122414802.672386,0.07577502348556009,0.07304135389810908,3.429159156068344,12.232303333333334
2018-01-18,binancecoin,BNB,14.1397,97652794.246735,-0.004232453978225026,-0.00424143616498465,3.4192497329909846,12.513630000000001
2018-01-19,binancecoin,BNB,14.9447,43859906.146541,0.056931900959709125,0.055370278095211355,3.386824136850529,12.840113333333335
2018-01-20,binancecoin,BNB,16.1712,41482318.428964,0.08206922855594279,0.07887516040704902,3.387841765751118,13.207166666666668
2018-01-21,binancecoin,BNB,14.1334,47611231.712227,-0.12601414860987425,-0.13469109179845143,3.351082563849168,13.53524
2018-01-22,binancecoin,BNB,12.91,37462952.575597,-0.08656091244852615,-0.09053858568125837,3.3815717255463253,13.818906666666665
2018-01-23,binancecoin,BNB,13.1022,30111386.35554,0.014887683965917775,0.014777950179688621,3.35062940587824,14.082946666666667
2018-01-24,binancecoin,BNB,13.8,26281710.580195,0.053258231442048,0.05188843712491923,3.2810039701316036,14.327509999999998
2018-01-25,binancecoin,BNB,13.1905,19412612.638806,-0.04416666666666669,-0.04517171864672101,3.059040574123604,14.458726666666667
2018-01-26,binancecoin,BNB,13.1344,22953959.42558,-0.004253060915052509,-0.004262130904573365,3.0480461766193367,14.56077
2018-01-27,binancecoin,BNB,13.3994,13146032.477264,0.02017602631258386,0.019975187223117787,3.029203481816944,14.699083333333334
2018-01-28,binancecoin,BNB,13.7739,18904156.176433,0.027949012642357163,0.027565567205993454,3.0181886699164924,14.867899999999999
2018-01-29,binancecoin,BNB,12.815,11323433.168136,-0.06961717451121319,-0.07215913722494127,2.9853393574451776,15.04191
2018-01-30,binancecoin,BNB,11.4749,15867521.227454,-0.10457276628950452,-0.11045431850434782,2.9956581578248014,15.140073333333333
2018-01-31,binancecoin,BNB,11.3131,10484378.715139,-0.014100340743710138,-0.014200695018109673,2.996092079185701,15.23551
2018-02-01,binancecoin,BNB,9.5138,21324215.619029,-0.15904570807294205,-0.17321797015674714,3.061813787703909,15.262136666666667
2018-02-02,binancecoin,BNB,9.7484,36505514.477761,0.02465891652126384,0.02435979284252437,3.0546119982534297,15.27695
2018-02-03,binancecoin,BNB,9.7252,22613977.150025,-0.002379877723523993,-0.0023827141336132097,3.0538836539771954,15.296356666666668
2018-02-04,binancecoin,BNB,8.3511,17956277.488154,-0.1412927240570887,-0.15232718813252508,2.546604905131247,15.078366666666666
2018-02-05,binancecoin,BNB,6.7315,22662358.507084,-0.19393852306881743,-0.21559526527606368,2.0986575245049646,14.549416666666666
2018-02-06,binancecoin,BNB,8.263,43465082.516216,0.22751244150635075,0.20498971628189486,2.189418644013774,14.20505
2018-02-07,binancecoin,BNB,8.0647,36944818.075555,-0.023998547742950516,-0.024291204601863185,2.1893437004798613,13.873970000000002
2018-02-08,binancecoin,BNB,8.2791,759169.472181,0.02658499386213986,0.026237753720009686,2.196915476334394,13.569973333333333
2018-02-09,binancecoin,BNB,9.86,22679154.338403,0.19095070720247365,0.1747519017773501,2.30297452635198,13.315306666666666
2018-02-10,binancecoin,BNB,9.2448,32153679.13439,-0.06239350912778907,-0.06442493732476502,2.1774766239742958,12.91672
2018-02-11,binancecoin,BNB,8.674,26487879.882144,-0.06174281758393907,-0.06373118587660455,2.1643630376984904,12.465856666666665
